Date,Investment_Value
2008-10-28,212.40461118955224
2008-10-29,218.8764648784405
2008-10-30,226.92382134561583
2008-10-31,228.11205965559893
2008-11-03,232.65312698700544
2008-11-04,241.5654488373796
2008-11-05,228.378292449523
2008-11-06,217.82862344584373
2008-11-07,222.67217448483908
2008-11-10,220.2376160582188
2008-11-11,214.12156109490004
2008-11-12,203.3944625161598
2008-11-13,216.4443745055826
2008-11-14,208.47591678764016
2008-11-17,203.2227089756321
2008-11-18,204.3685244307179
2008-11-19,194.0576241013613
2008-11-20,180.94570200661664
2008-11-21,190.57770547735447
2008-11-24,205.1548258178892
2008-11-25,208.76687225194328
2008-11-26,214.0989855001456
2008-11-28,218.011939520979
2008-12-01,201.95116017257567
2008-12-02,209.2828902822861
2008-12-03,219.0291134139125
2008-12-04,211.5218028019493
2008-12-05,218.94137845792648
2008-12-08,227.72182895640444
2008-12-09,222.4096371129652
2008-12-10,225.4828918611233
2008-12-11,217.79385665982608
2008-12-12,218.93870149476845
2008-12-15,217.81527864928643
2008-12-16,229.53997781233625
2008-12-17,228.78638849862512
2008-12-18,223.19713916644005
2008-12-19,224.1456258055424
2008-12-22,219.34198703918148
2008-12-23,216.97139956285585
2008-12-24,217.69114696514328
2008-12-26,219.74898905206405
2008-12-29,218.5018049862257
2008-12-30,223.9486015327587
2008-12-31,227.7297536872228
2009-01-02,232.50133204684536
2009-01-05,232.74797432749904
2009-01-06,235.21474194761623
2009-01-07,229.72605684284773
2009-01-08,230.3427702987258
2009-01-09,225.03906331263943
2009-01-12,220.04363403471328
2009-01-13,220.7220691214929
2009-01-14,213.62982846081388
2009-01-15,215.4799544612156
2009-01-16,218.00851554839696
2009-01-20,208.0794360923763
2009-01-21,218.36947190941845
2009-01-22,216.48434299185504
2009-01-23,217.42689281113283
2009-01-26,218.4323632181849
2009-01-27,220.9194482542014
2009-01-28,227.7588296256483
2009-01-29,221.4827041421465
2009-01-30,216.08530114360337
2009-02-02,216.4618359215592
2009-02-03,220.60415710926463
2009-02-04,220.2902002387236
2009-02-05,225.12277913882343
2009-02-06,230.14374970645565
2009-02-09,231.5713868656537
2009-02-10,222.54331568951008
2009-02-11,224.3416996669974
2009-02-12,225.7406391825768
2009-02-13,225.8677427792016
2009-02-17,216.0752106119631
2009-02-18,215.8843774497578
2009-02-19,213.46801660361967
2009-02-20,211.94182535202543
2009-02-23,203.92964718781383
2009-02-24,213.1523350026614
2009-02-25,210.9025922645566
2009-02-26,206.3385948155861
2009-02-27,204.28168417433403
2009-03-02,193.86828672164043
2009-03-03,194.25399584011805
2009-03-04,199.52497442790315
2009-03-05,192.32562994681848
2009-03-06,190.01148006042104
2009-03-09,191.44296798140715
2009-03-10,202.3286291029681
2009-03-11,204.0150856786499
2009-03-12,212.07874440779565
2009-03-13,215.3463551074131
2009-03-16,214.418424850528
2009-03-17,219.91973337973224
2009-03-18,223.10125486936343
2009-03-19,222.3058860777476
2009-03-20,219.00613242276208
2009-03-23,233.50891260123828
2009-03-24,228.6526078608785
2009-03-25,231.7877439314448
2009-03-26,235.08233486975223
2009-03-27,229.6061436436445
2009-03-30,222.48035848166728
2009-03-31,226.2025941094041
2009-04-01,229.44619815824623
2009-04-02,234.4445323814272
2009-04-03,236.8373409629044
2009-04-06,235.06948085938228
2009-04-07,228.9143799231421
2009-04-08,232.5812272243397
2009-04-09,240.1768112665179
2009-04-13,240.96269235583927
2009-04-14,237.55771929656973
2009-04-15,238.47436273152096
2009-04-16,243.05782307195943
2009-04-17,245.7512626259039
2009-04-20,236.2511504161268
2009-04-21,241.6011814761504
2009-04-22,241.6011814761504
2009-04-23,242.93120773868736
2009-04-24,244.7051827518524
2009-04-27,243.7200955344822
2009-04-28,242.86628417617348
2009-04-29,247.5543860264568
2009-04-30,248.077394317838
2009-05-01,248.56331280976607
2009-05-04,258.1192172295511
2009-05-05,257.7890828797283
2009-05-06,259.7034821155753
2009-05-07,255.87459171006068
2009-05-08,259.1093751221646
2009-05-11,255.8745917100607
2009-05-12,256.2971878547333
2009-05-13,249.6436591520432
2009-05-14,251.83928439813627
2009-05-15,249.5769598579537
2009-05-18,257.29506736084244
2009-05-19,258.1601196781431
2009-05-20,256.6297731748331
2009-05-21,251.5065137593218
2009-05-22,252.67018032351945
2009-05-26,258.1817920963074
2009-05-27,255.39271780738773
2009-05-28,258.54964416559784
2009-05-29,261.4083573336009
2009-06-01,267.2150651759051
2009-06-02,268.0037403681096
2009-06-03,263.6004665839992
2009-06-04,266.1634169001172
2009-06-05,266.377179675837
2009-06-08,265.7860132845242
2009-06-09,265.99973046731026
2009-06-10,264.5662353033041
2009-06-11,265.6738522381466
2009-06-12,265.4783797498095
2009-06-15,259.8091028468882
2009-06-16,256.29029556148066
2009-06-17,256.87680377509383
2009-06-18,259.5408347437276
2009-06-19,260.68571789852547
2009-06-22,252.98754159963843
2009-06-23,252.658543433664
2009-06-24,253.14000787294884
2009-06-25,258.3280660466518
2009-06-26,258.26280389929866
2009-06-29,260.2830641223551
2009-06-30,258.718975145638
2009-07-01,259.04480312958
2009-07-02,252.8537998862193
2009-07-06,251.28986176975965
2009-07-07,246.2065801384421
2009-07-08,246.8582662783775
2009-07-09,247.77074454528784
2009-07-10,247.7055729140892
2009-07-13,252.4629360453104
2009-07-14,253.57818775717192
2009-07-15,261.0556119701569
2009-07-16,263.5514612296194
2009-07-17,264.3955333412757
2009-07-20,267.77191197296884
2009-07-21,269.13545007541586
2009-07-22,269.3952131325005
2009-07-23,275.32902710918324
2009-07-24,275.19966469964027
2009-07-27,275.1348635482675
2009-07-28,275.4585694386283
2009-07-29,273.6451567463004
2009-07-30,276.6892515550061
2009-07-31,276.55967923891075
2009-08-03,281.4820478646177
2009-08-04,281.9353560577242
2009-08-05,280.18665455681816
2009-08-06,278.5027242206346
2009-08-07,281.8058737015799
2009-08-10,280.0571122273732
2009-08-11,277.79021142203686
2009-08-12,280.4809536709674
2009-08-13,282.35383968265967
2009-08-14,279.0600157421452
2009-08-17,271.89142844318167
2009-08-18,274.9913766728573
2009-08-19,276.86426268454954
2009-08-20,280.15793712189407
2009-08-21,284.7432292460223
2009-08-24,284.7432292460223
2009-08-25,286.10679246398826
2009-08-26,285.91267103759355
